sentence,label
Attention driver saab: FMCG (Edible Oil Pouches) delivery ke liye nikal chuka hai.,DEADLINE_SET
"Strictly NH-62 ODC corridor, strictly avoid sharp hairpin bends se jana hai.",ROUTE_RESTRICTION
Unloading target Within 48 hours long-haul transit parameters hai.,DEADLINE_SET
"High Value, Tamper-evident digital seals, fragile handling instructions follow karo aur NHAI heavy cargo dimension clearance permit active in fleet system ready rakho.",DEADLINE_SET
Emergency stock replenishment hai driver saab!,DRIVER_ALERT
"Location ke liye State Highway 11 pathway corridor, avoid central local blockades ka use karein aur Before midnight tonight tak har haal me pahuchein.",DEADLINE_SET
"Heavy weight balanced vertical blocks, lock steel clamp array ka khyal rakhna, OTP verification authorization validation activated on terminal map sath hona chahiye.",DEADLINE_SET
"Bhai, Frozen Food (Frozen Fish Fillets) ka critical consignment hai.",HANDLING_INSTRUCTION
"Route me State Highway 14 network only, avoid water-logged underpass follow karna aur Within 3 days (Long haul) tak deliver kar dena.",ROUTE_RESTRICTION
"Highly Fragile medical diagnostic components, strict vibration sensor logs maintain rakhna, checkpost pe Retail Invoice and Signed Inward Delivery Acknowledgement verified check hoga.",HANDLING_INSTRUCTION
Consignment category: Industrial Gas (Compressed Argon Tank).,COMPLIANCE_NOTE
"Avoid newly laid asphalt patches, follow stable industrial bypass track follow karna delay se bachne ke liye.",ROUTE_RESTRICTION
Delivery window is Within 2 hours express emergency routing schedule.,DEADLINE_SET
"Take care of Deep Freeze (-18°C), Fragile packaging.",DEADLINE_SET
Keep Loading challan and toll receipts for reimbursement verification handy on dashboard.,HANDLING_INSTRUCTION
Attention driver saab: Poultry Feed Bags delivery ke liye nikal chuka hai.,DEADLINE_SET
"Strictly Shortest state highway links, skip city commercial bottlenecks se jana hai.",ROUTE_RESTRICTION
Unloading target Strictly before 11:00 AM launch event hai.,DEADLINE_SET
"Temperature sensitive, clean crates requirement instructions follow karo aur Octroi Exempt Form (Govt hospital delivery), Delivery Challan signed ready rakho.",COMPLIANCE_NOTE
"Sir, ye logistics move urgent hai.",DEADLINE_SET
Cargo: Frozen Food (Ice Cream Stock).,HANDLING_INSTRUCTION
"Route path: Avoid narrow city inner circles, follow heavy clearance map.",ROUTE_RESTRICTION
Deadlines: Before 01:00 PM afternoon.,DEADLINE_SET
"Highly Fragile medical diagnostic components, strict vibration sensor logs protocol lagao aur factory checkpost pe TREM Card (Transport Emergency Card) required, valid PUC on board clear karwana.",HANDLING_INSTRUCTION
"Suno driver saab, E-Commerce Electronics (Smartphones) ka load hamesha critical hota hai.",DRIVER_ALERT
"Direct highway line, bypass chaotic weekend markets corridor hi lena and secure velocity maintain karke Within 24 hours transit window tak report karo.",DEADLINE_SET
"Product is Chemical handling, protective masks for loaders mandatory, aur border par e-Way Bill must match physical bundle count exactly at border check dikhana hoga.",COMPLIANCE_NOTE
Consignment category: Poultry Eggs Cargo.,COMPLIANCE_NOTE
Avoid waterlogging-prone low underpasses completely track follow karna delay se bachne ke liye.,ROUTE_RESTRICTION
Delivery window is Afternoon slot (02:00 PM - 05:00 PM).,DEADLINE_SET
"Take care of Shock-sensitive cargo, high-security padlock, fragile.",DEADLINE_SET
Keep Breakage Policy Document & Delivery Challan signed by dispatcher handy on dashboard.,COMPLIANCE_NOTE
Emergency stock replenishment hai driver saab!,DRIVER_ALERT
"Location ke liye High-security strategic expressway, avoid unmonitored road segments ka use karein aur Morning slot (09:00 AM - 11:30 AM) tak har haal me pahuchein.",ROUTE_RESTRICTION
"Heavy stack, weatherproof multi-layer covering mandatory ka khyal rakhna, Octroi Exempt Form (Govt hospital delivery), Delivery Challan signed sath hona chahiye.",COMPLIANCE_NOTE
Emergency stock replenishment hai driver saab!,DRIVER_ALERT
Location ke liye Stick to designated dangerous goods transit pathways ka use karein aur By evening (Before 06:00 PM) tak har haal me pahuchein.,DEADLINE_SET
"Moisture-sensitive, individual vacuum packing protection ka khyal rakhna, Weight Bridge Slip (Kanta Slip) duplicate verification copy required sath hona chahiye.",COMPLIANCE_NOTE
"Bhai, Industrial Gas (Compressed Nitrogen) ka critical consignment hai.",COMPLIANCE_NOTE
"Route me State Highway 10 only, avoid central blockades/protest routes follow karna aur Strictly before 09:00 AM tak deliver kar dena.",DEADLINE_SET
"Heavy Load, Secure Tie-Downs, anti-rust tarp covering maintain rakhna, checkpost pe Medical Supply Emergency Priority Authorization Document Pass verified check hoga.",COMPLIANCE_NOTE
Emergency stock replenishment hai driver saab!,DRIVER_ALERT
Location ke liye Avoid waterlogging-prone routes and low-security zones ka use karein aur Within 2 hours max (Urgent replenishment) tak har haal me pahuchein.,DEADLINE_SET
"Deep Freeze (-20°C), continuous temperature data logging ka khyal rakhna, Gate Pass & Triplicate Invoice copy needed at factory gate sath hona chahiye.",HANDLING_INSTRUCTION
"Sir, ye logistics move urgent hai.",DEADLINE_SET
"Route path: Strictly follow high load ODC clearance maps, avoid low utility wires.",ROUTE_RESTRICTION
Deadlines: Within 2 hours express emergency routing schedule.,DEADLINE_SET
"Standard palletized distribution, avoid stacking near wet cargo protocol lagao aur factory checkpost pe Active digital e-Way Bill tracking map enabled on dispatcher console clear karwana.",COMPLIANCE_NOTE
High-value target load hai.,VEHICLE_REQUIREMENT
"Route map setting: Monitored container track route, direct arterial expressway link.",ROUTE_RESTRICTION
Strict unloading timing: Before afternoon 01:00 PM.,DEADLINE_SET
"Setup Scratch-proofing blanket layers, corner edge bumpers installed checks, and checkpost processing ke liye Octroi Exempt Form (Govt hospital delivery), Delivery Challan signed verified hona chahiye.",COMPLIANCE_NOTE
"Suno driver saab, Glass Bottles (Beverage Industry) ka load hamesha critical hota hai.",DEADLINE_SET
"Expressway system layout only, check under-clearance lines corridor hi lena and secure velocity maintain karke Afternoon slot (02:00 PM - 05:00 PM) tak report karo.",DEADLINE_SET
"Product is Over-Dimensional Cargo (ODC), Escort vehicle required, aur border par Special ODC Permission from NHAI, Form 9 active in system dikhana hoga.",VEHICLE_REQUIREMENT
Attention driver saab: Construction Material (Ceramic Tiles) delivery ke liye nikal chuka hai.,DEADLINE_SET
Strictly Bypass local market traffic zones completely se jana hai.,ROUTE_RESTRICTION
Unloading target Within 6 hours window hai.,DEADLINE_SET
"Live animal priority tracking, specialized airflow ventilation matrix instructions follow karo aur Daily Supply Token and Transit Challan verified ready rakho.",COMPLIANCE_NOTE
Emergency stock replenishment hai driver saab!,DRIVER_ALERT
"Location ke liye Smooth asphalt highway only, skip rough diversion bypass ka use karein aur Within 36 hours transit window tak har haal me pahuchein.",DEADLINE_SET
"Over-Dimensional Cargo (ODC), Escort vehicle required ka khyal rakhna, Octroi Exempt Form (Govt hospital delivery), Delivery Challan signed sath hona chahiye.",COMPLIANCE_NOTE
"Sir, ye logistics move urgent hai.",DEADLINE_SET
Route path: Avoid waterlogging-prone low underpasses completely.,ROUTE_RESTRICTION
Deadlines: Morning slot (09:00 AM - 11:30 AM).,DEADLINE_SET
"HAZMAT Class 3, Spark-proof kit mandatory in cabin protocol lagao aur factory checkpost pe Excise Challan & Triplicate Invoice Copy checked post loading clear karwana.",COMPLIANCE_NOTE
Attention driver saab: Automotive Parts (Wiring Harnesses) delivery ke liye nikal chuka hai.,DEADLINE_SET
"Strictly Bypass city local bottlenecks, stick to industrial ring se jana hai.",ROUTE_RESTRICTION
Unloading target Strictly before 11:00 AM launch event hai.,DEADLINE_SET
"Heavy Load, Secure Tie-Downs, anti-rust tarp covering instructions follow karo aur Animal husbandry product verification transit slip active in folder ready rakho.",ROUTE_RESTRICTION
Emergency stock replenishment hai driver saab!,DRIVER_ALERT
"Location ke liye Direct arterial corridors, smooth driving pattern tracking maps ka use karein aur By evening 04:30 PM tak har haal me pahuchein.",DEADLINE_SET
"Refrigerated (Maintain 2°C to 8°C) ka khyal rakhna, Weight Bridge Slip (Kanta Parchi) mandatory at entry sath hona chahiye.",HANDLING_INSTRUCTION
"Suno driver saab, Fresh Produce (Alfonso Mangoes for Export) ka load hamesha critical hota hai.",DEADLINE_SET
"Expressway system layout only, check under-clearance lines corridor hi lena and secure velocity maintain karke Within 2 hours express emergency routing schedule tak report karo.",DEADLINE_SET
"Product is Scratch-proofing blanket layers, corner edge bumpers installed, aur border par Retail Invoice & Signed Delivery Acknowledgement Form required dikhana hoga.",COMPLIANCE_NOTE
"Dekho bhai, Pharmaceuticals (Cardiac Stents Bulk) loaded hai gaadi me.",VEHICLE_REQUIREMENT
"Ring road mat lena, Standard distributor route, local city limits safe rahega.",ROUTE_RESTRICTION
Subah Afternoon slot (01:30 PM - 04:30 PM) se pehle hub pahuchega toh achha hai.,DEADLINE_SET
"Maal Refrigerated (Maintain 2°C to 8°C) hai, and custom pe Digital OTP delivery system enablement check on driver device dikhana padega.",HANDLING_INSTRUCTION
High-value target load hai.,VEHICLE_REQUIREMENT
"Route map setting: Bypass city local bottlenecks, stick to industrial ring.",ROUTE_RESTRICTION
Strict unloading timing: By afternoon 03:00 PM.,DEADLINE_SET
"Setup Vitrified layout, palletizing tight bracing required checks, and checkpost processing ke liye Weight Bridge Slip (Kanta Slip) duplicate verification copy required verified hona chahiye.",COMPLIANCE_NOTE
"Bhai, Frozen Food (Frozen Fish Fillets) ka critical consignment hai.",HANDLING_INSTRUCTION
"Route me Rural connectivity routes, verify bridge weight capacity before crossing follow karna aur By afternoon 03:00 PM tak deliver kar dena.",DEADLINE_SET
"Standard palletized distribution, avoid stacking near wet cargo maintain rakhna, checkpost pe Daily Supply Token and Transit Challan verified check hoga.",ROUTE_RESTRICTION
High-value target load hai.,VEHICLE_REQUIREMENT
"Route map setting: Avoid newly laid asphalt patches, follow stable industrial bypass.",ROUTE_RESTRICTION
Strict unloading timing: Night delivery only (11:00 PM - 04:00 AM).,DEADLINE_SET
"Setup Temperature sensitive, clean crates requirement checks, and checkpost processing ke liye APMC state mandi transit token sheet approval logs verified verified hona chahiye.",DEADLINE_SET
Attention driver saab: Industrial Chemical (Caustic Soda) delivery ke liye nikal chuka hai.,DEADLINE_SET
"Strictly High-security strategic expressway, avoid unmonitored road segments se jana hai.",ROUTE_RESTRICTION
Unloading target Within 3 days (Long haul) hai.,VEHICLE_REQUIREMENT
"Temperature sensitive, clean crates requirement instructions follow karo aur NHAI heavy cargo dimension clearance permit active in fleet system ready rakho.",HANDLING_INSTRUCTION
Emergency stock replenishment hai driver saab!,DRIVER_ALERT
"Location ke liye Avoid residential areas, stick to notified commercial belts ka use karein aur Before 01:00 PM afternoon tak har haal me pahuchein.",DEADLINE_SET
"Chilled container (Maintain 14°C to 18°C), zero moisture drop ka khyal rakhna, Gate Pass & Triplicate Invoice copy needed at factory gate sath hona chahiye.",COMPLIANCE_NOTE
"Bhai, Construction Material (Quartzite Blocks) ka critical consignment hai.",COMPLIANCE_NOTE
"Route me No low-clearance bridges, follow approved ODC route map follow karna aur Before afternoon 01:00 PM tak deliver kar dena.",DEADLINE_SET
"Highly Fragile, Air-suspension vehicle tracking required maintain rakhna, checkpost pe APMC state mandi transit token sheet approval logs verified check hoga.",DEADLINE_SET
Consignment category: Medical Gas Cylinders (Oxygen).,COMPLIANCE_NOTE
"Mumbai-Pune Expressway only, minimize transit jolts track follow karna delay se bachne ke liye.",ROUTE_RESTRICTION
Delivery window is Within 6 hours window.,DEADLINE_SET
"Take care of Moisture-sensitive, individual vacuum packing protection.",DEADLINE_SET
Keep MSDS sheet attached with physical dispatch checklist data handy on dashboard.,HANDLING_INSTRUCTION
"Suno driver saab, Automotive Parts (Alloy Wheels) ka load hamesha critical hota hai.",DEADLINE_SET
"Wide national highways only, no narrow toll lanes corridor hi lena and secure velocity maintain karke Before 08:30 AM early slot tak report karo.",DEADLINE_SET
"Product is Highly Fragile, Air-suspension vehicle tracking required, aur border par e-Way Bill must match physical bundle count exactly at border check dikhana hoga.",COMPLIANCE_NOTE
Attention driver saab: Frozen Food (Frozen Meat Patties) delivery ke liye nikal chuka hai.,DEADLINE_SET
"Strictly Strictly follow high load ODC clearance maps, avoid low utility wires se jana hai.",ROUTE_RESTRICTION
Unloading target Before midnight tonight hai.,DEADLINE_SET
"Live animal priority tracking, specialized airflow ventilation matrix instructions follow karo aur Export Shipping Bill & Temperature Log Sheet required at port terminal ready rakho.",HANDLING_INSTRUCTION
Emergency stock replenishment hai driver saab!,DRIVER_ALERT
"Location ke liye Bypass city local bottlenecks, stick to industrial ring ka use karein aur Before afternoon 01:00 PM tak har haal me pahuchein.",DEADLINE_SET
"Over-Dimensional Cargo (ODC), Escort vehicle required ka khyal rakhna, Gate Pass & Triplicate Invoice copy needed at factory gate sath hona chahiye.",COMPLIANCE_NOTE
Emergency stock replenishment hai driver saab!,DRIVER_ALERT
"Location ke liye NH-62 ODC corridor, strictly avoid sharp hairpin bends ka use karein aur Morning 10:00 AM sharp tak har haal me pahuchein.",DEADLINE_SET
"HAZMAT Class 9, Temperature monitored, dry zone packaging ka khyal rakhna, Gate Pass & Triplicate Invoice copy needed at factory gate sath hona chahiye.",HANDLING_INSTRUCTION
"Dekho bhai, Construction Material (White Cement Bags) loaded hai gaadi me.",VEHICLE_REQUIREMENT
"Ring road mat lena, High-security logistics route, avoid dark zones/isolated halts safe rahega.",ROUTE_RESTRICTION
Subah Within 3 days (Long haul) se pehle hub pahuchega toh achha hai.,DEADLINE_SET
"Maal Class 3 Flammable Liquid, zero ignition source zone hai, and custom pe Active digital e-Way Bill tracking map enabled on dispatcher console dikhana padega.",COMPLIANCE_NOTE
"Dekho bhai, Medical Gas Cylinders (Oxygen) loaded hai gaadi me.",VEHICLE_REQUIREMENT
"Ring road mat lena, Direct arterial corridors, smooth driving pattern tracking maps safe rahega.",ROUTE_RESTRICTION
Subah Strictly before 07:30 AM se pehle hub pahuchega toh achha hai.,DEADLINE_SET
"Maal Refrigerated (Maintain 2°C to 8°C) hai, and custom pe Weight Bridge Slip (Kanta Slip) duplicate verification copy required dikhana padega.",HANDLING_INSTRUCTION
Attention driver saab: E-Commerce Electronics (Smartphones) delivery ke liye nikal chuka hai.,DRIVER_ALERT
"Strictly Avoid city flyovers, follow heavy transport corridor se jana hai.",ROUTE_RESTRICTION
Unloading target Morning 10:00 AM sharp hai.,DEADLINE_SET
"Keep 100% dry, double-layer heavy tarpaulin covering mandatory instructions follow karo aur Loading challan and toll receipts for reimbursement verification ready rakho.",HANDLING_INSTRUCTION
Emergency stock replenishment hai driver saab!,DRIVER_ALERT
"Location ke liye Shortest market connection lane, bypass checkpoint lines ka use karein aur Before 04:00 PM closing tak har haal me pahuchein.",DEADLINE_SET
"Fragile, Glassware protocol, side foam padding required ka khyal rakhna, Agricultural Produce Marketing Committee (APMC) tax slip verified sath hona chahiye.",DEADLINE_SET
High-value target load hai.,VEHICLE_REQUIREMENT
Route map setting: Stick to designated dangerous goods transit pathways.,ROUTE_RESTRICTION
Strict unloading timing: By late evening.,VEHICLE_REQUIREMENT
"Setup Keep 100% dry, double-layer heavy tarpaulin covering mandatory checks, and checkpost processing ke liye NHAI heavy cargo dimension clearance permit active in fleet system verified hona chahiye.",HANDLING_INSTRUCTION
"Bhai, Automotive Parts (Alloy Wheels) ka critical consignment hai.",COMPLIANCE_NOTE
"Route me No highways during peak hours, outer bypass only follow karna aur By evening 05:00 PM at Port tak deliver kar dena.",DEADLINE_SET
"Vitrified layout, palletizing tight bracing required maintain rakhna, checkpost pe Breakage liability clause signed, e-Way Bill attached with documents check hoga.",COMPLIANCE_NOTE
High-value target load hai.,VEHICLE_REQUIREMENT
Route map setting: Stick to designated dangerous goods transit pathways.,ROUTE_RESTRICTION
Strict unloading timing: Morning 10:00 AM sharp.,DEADLINE_SET
"Setup Keep 100% dry, double-layer heavy tarpaulin covering mandatory checks, and checkpost processing ke liye Subsidy claim challan copy, Government allocation order form verified verified hona chahiye.",HANDLING_INSTRUCTION
Attention driver saab: Paints & Solvents (Commercial Paints) delivery ke liye nikal chuka hai.,DEADLINE_SET
Strictly Bypass local market traffic zones completely se jana hai.,ROUTE_RESTRICTION
Unloading target Within 24 hours transit window hai.,DEADLINE_SET
Refrigerated (Maintain 2°C to 8°C) instructions follow karo aur Loading challan and toll receipts for reimbursement verification ready rakho.,HANDLING_INSTRUCTION
"Sir, ye logistics move urgent hai.",DEADLINE_SET
"Route path: Smooth surfaces only, strictly avoid under-construction bypass roads.",ROUTE_RESTRICTION
Deadlines: By evening 04:30 PM.,DEADLINE_SET
"Ventilated container, stack max 4 crates high protocol lagao aur factory checkpost pe Bulk Delivery Manifest & Store Inward Voucher verified clear karwana.",DEADLINE_SET
"Bhai, Heavy Machinery (Windmill Blade Section) ka critical consignment hai.",COMPLIANCE_NOTE
"Route me NH-48 strictly, avoid interior state highways due to checkpost delays follow karna aur Within 2 hours max (Urgent replenishment) tak deliver kar dena.",DEADLINE_SET
"Shock-sensitive cargo, high-security padlock, fragile maintain rakhna, checkpost pe Bulk Delivery Manifest & Store Inward Voucher verified check hoga.",DEADLINE_SET
"Suno driver saab, Construction Material (Ceramic Tiles) ka load hamesha critical hota hai.",DEADLINE_SET
"Wide national highways only, no narrow toll lanes corridor hi lena and secure velocity maintain karke Strictly before 11:00 AM launch event tak report karo.",DEADLINE_SET
"Product is Over-Dimensional Cargo (ODC), Escort vehicle required, aur border par Pollution Under Control (PUC) & Emergency Response Plan copy present dikhana hoga.",COMPLIANCE_NOTE
"Suno driver saab, Medical Gas Cylinders (Oxygen) ka load hamesha critical hota hai.",DEADLINE_SET
"Smooth surfaces only, strictly avoid under-construction bypass roads corridor hi lena and secure velocity maintain karke Strictly before 11:00 AM launch event tak report karo.",DEADLINE_SET
"Product is Chemical handling, protective masks for loaders mandatory, aur border par OTP Verification on Delivery, e-Way Bill status must be Active dikhana hoga.",COMPLIANCE_NOTE
"Dekho bhai, Pharmaceuticals (Insulin Pens) loaded hai gaadi me.",VEHICLE_REQUIREMENT
